famID	emmean	SE	df	lower.CL	upper.CL
WGN07	4.17410219796015	0.0301774716281585	1094	4.11488993122018	4.23331446470013
WGN15	4.21561170188719	0.0304040655245033	1094	4.15595482738161	4.27526857639277
WGN26	4.14137012945339	0.0328149235266732	1094	4.07698282660525	4.20575743230153
WGN36	4.2097283160845	0.0313660832465347	1094	4.14818383314481	4.27127279902419
WGN38	4.0419770712091	0.0340712779720362	1094	3.97512463160413	4.10882951081407
WGN39	4.33763227842937	0.0302599097941374	1094	4.27825825689649	4.39700629996225
WGN45	3.95812813088406	0.034000916357341	1094	3.89141375025066	4.02484251151746
WGN46	4.52806381829108	0.0307654457566893	1094	4.46769786706209	4.58842976952006
WGN55	4.32161872605082	0.0301473088168629	1094	4.26246564281203	4.38077180928961
WGN63	3.83037298317805	0.0307662971419729	1094	3.77000536141639	3.89074060493971
