famID	emmean	SE	df	lower.CL	upper.CL
WGN07	3.20768894471656	0.0289521773050031	1103	3.150881383964	3.26449650546913
WGN15	3.19692747281267	0.0277128206881199	1103	3.14255167481032	3.25130327081503
WGN26	3.24291914969314	0.0294748205868349	1103	3.18508610164573	3.30075219774056
WGN36	3.01729844673421	0.0307967007056303	1103	2.95687171516638	3.07772517830204
WGN38	3.00584092312446	0.0316386453799027	1103	2.94376219755528	3.06791964869364
WGN39	2.95254952735058	0.0283536679792066	1103	2.89691631195132	3.00818274274984
WGN45	3.14671646409898	0.0300491858325869	1103	3.0877564442094	3.20567648398857
WGN46	3.36943731968357	0.0288261907003674	1103	3.31287695939615	3.42599767997098
WGN55	3.16354160504954	0.0282470108037986	1103	3.10811766351275	3.21896554658632
WGN63	2.77271374878759	0.0291723476081782	1103	2.71547418812905	2.82995330944613
