famID	emmean	SE	df	lower.CL	upper.CL
WGN07	3.57936026330148	0.0326913462252454	1112	3.51521658573999	3.64350394086296
WGN15	3.54777738788035	0.0329492133018804	1112	3.48312774942929	3.6124270263314
WGN26	3.7818089114123	0.0341733448851938	1112	3.71475740486344	3.84886041796117
WGN36	3.92826817109034	0.0340009888358022	1112	3.86155484427815	3.99498149790253
WGN38	3.58184427449892	0.0367240384299058	1112	3.50978805314991	3.65390049584793
WGN39	3.6055000813125	0.03242087373235	1112	3.54188709772287	3.66911306490213
WGN45	3.52619784584876	0.0351434778381312	1112	3.45724284181477	3.59515284988275
WGN46	3.98919099986693	0.0335906582055153	1112	3.92328278262292	4.05509921711093
WGN55	3.82749356930272	0.032912999881119	1112	3.76291498519028	3.89207215341515
WGN63	3.461297333553	0.0334658839951352	1112	3.39563393573807	3.52696073136793
