"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","merge_col"
"WGN07","C",13,25,"WGN07C13",1298,"STP",2017,2,33,33,NA,"WGN07C13_STP_2017_2"
"WGN07","D",13,26,"WGN07D13",78,"STP",2017,1,15,6,NA,"WGN07D13_STP_2017_1"
"WGN07","D",13,26,"WGN07D13",1363,"STP",2017,2,46,24,NA,"WGN07D13_STP_2017_2"
"WGN07","C",14,27,"WGN07C14",14,"STP",2017,1,7,13,NA,"WGN07C14_STP_2017_1"
"WGN07","C",14,27,"WGN07C14",1299,"STP",2017,2,43,36,NA,"WGN07C14_STP_2017_2"
"WGN07","D",14,28,"WGN07D14",79,"STP",2017,1,21,19,NA,"WGN07D14_STP_2017_1"
"WGN07","D",14,28,"WGN07D14",1364,"STP",2017,2,44,16,NA,"WGN07D14_STP_2017_2"
"WGN07","C",15,29,"WGN07C15",15,"STP",2017,1,22,3,NA,"WGN07C15_STP_2017_1"
"WGN07","C",15,29,"WGN07C15",1300,"STP",2017,2,37,40,NA,"WGN07C15_STP_2017_2"
"WGN07","D",15,30,"WGN07D15",80,"STP",2017,1,10,23,NA,"WGN07D15_STP_2017_1"
"WGN07","D",15,30,"WGN07D15",1365,"STP",2017,2,36,40,NA,"WGN07D15_STP_2017_2"
"WGN07","C",16,31,"WGN07C16",16,"STP",2017,1,1,22,NA,"WGN07C16_STP_2017_1"
"WGN07","C",16,31,"WGN07C16",1301,"STP",2017,2,55,38,NA,"WGN07C16_STP_2017_2"
"WGN07","D",16,32,"WGN07D16",81,"STP",2017,1,28,3,NA,"WGN07D16_STP_2017_1"
"WGN07","D",16,32,"WGN07D16",1366,"STP",2017,2,34,24,NA,"WGN07D16_STP_2017_2"
"WGN07","C",17,33,"WGN07C17",17,"STP",2017,1,26,18,NA,"WGN07C17_STP_2017_1"
"WGN07","C",17,33,"WGN07C17",1302,"STP",2017,2,51,39,NA,"WGN07C17_STP_2017_2"
"WGN07","D",17,34,"WGN07D17",82,"STP",2017,1,3,21,NA,"WGN07D17_STP_2017_1"
"WGN07","D",17,34,"WGN07D17",1367,"STP",2017,2,37,2,NA,"WGN07D17_STP_2017_2"
"WGN07","C",18,35,"WGN07C18",18,"STP",2017,1,7,29,NA,"WGN07C18_STP_2017_1"
"WGN07","C",18,35,"WGN07C18",1303,"STP",2017,2,60,11,NA,"WGN07C18_STP_2017_2"
"WGN07","D",18,36,"WGN07D18",83,"STP",2017,1,2,22,NA,"WGN07D18_STP_2017_1"
"WGN07","D",18,36,"WGN07D18",1368,"STP",2017,2,56,40,NA,"WGN07D18_STP_2017_2"
"WGN07","C",19,37,"WGN07C19",19,"STP",2017,1,15,34,NA,"WGN07C19_STP_2017_1"
"WGN07","C",19,37,"WGN07C19",1304,"STP",2017,2,37,22,NA,"WGN07C19_STP_2017_2"
"WGN07","D",19,38,"WGN07D19",84,"STP",2017,1,31,40,NA,"WGN07D19_STP_2017_1"
