"famID","germplasm_id","loc","year","rep","seed_area","seeds_per_spike"
"WGN07","WGN07D21","STP",2017,1,"8.7","3.15"
"WGN07","WGN07D22","STP",2017,1,"7.3","3.70625"
"WGN07","WGN07D23","STP",2017,1,"7.2","3.6796875"
"WGN07","WGN07D24","STP",2017,1,"7","3.281538462"
"WGN07","WGN07D25","STP",2017,1,"8.6","5.488732394"
"WGN07","WGN07D26","STP",2017,1,"7.8","4.045833333"
"WGN07","WGN07D28","STP",2017,1,"7.9","3.075"
"WGN07","WGN07D29","STP",2017,1,"8.1","4.6078125"
"WGN07","WGN07D30","STP",2017,1,"8.1","4.195454545"
"WGN07","WGN07D31","STP",2017,1,NA,NA
"WGN07","WGN07D32","STP",2017,1,"7.7","5.344067797"
"WGN07","WGN07D33","STP",2017,1,"7.6","4.450980392"
"WGN07","WGN07D34","STP",2017,1,"6.9","3.803076923"
"WGN07","WGN07D35","STP",2017,1,"7.5","3.661691542"
"WGN07","WGN07D36","STP",2017,1,NA,NA
"WGN07","WGN07D37","STP",2017,1,"8.8","5.042465753"
"WGN07","WGN07D38","STP",2017,1,"7.5","4.275524476"
"WGN07","WGN07D39","STP",2017,1,"8.3","3.912676056"
"WGN07","WGN07D40","STP",2017,1,"8.6","3.952941176"
"WGN07","WGN07D41","STP",2017,1,"7.9","4.362295082"
"WGN07","WGN07D42","STP",2017,1,"8","4.617391304"
"WGN07","WGN07D43","STP",2017,1,"8.2","4.530434783"
"WGN07","WGN07D44","STP",2017,1,"7.2","4.956521739"
"WGN07","WGN07D45","STP",2017,1,"8.3","4.579411765"
"WGN07","WGN07D46","STP",2017,1,"8","4.06122449"
"WGN07","WGN07D47","STP",2017,1,"7.5","3.6"
"WGN07","WGN07D48","STP",2017,1,"8.3","2.538095238"
"WGN07","WGN07D49","STP",2017,1,"8.3","5.605594406"
"WGN07","WGN07D50","STP",2017,1,"7.6","4.901785714"
"WGN07","WGN07D51","STP",2017,1,"8.6","4.360273973"
"WGN07","WGN07D52","STP",2017,1,"7.6","5.130434783"
"WGN07","WGN07D53","STP",2017,1,"8.3","4.180645161"
"WGN07","WGN07D54","STP",2017,1,"7.8","6.435483871"
"WGN07","WGN07D55","STP",2017,1,"7.8","5.521875"
"WGN07","WGN07D56","STP",2017,1,"8.2","3.588"
"WGN07","WGN07D57","STP",2017,1,"7","4.101315789"
"WGN07","WGN07D58","STP",2017,1,"8.4","4.328703704"
"WGN07","WGN07D59","STP",2017,1,"7.9","3.545070423"
"WGN07","WGN07D60","STP",2017,1,"7.6","5.201694915"
"WGN07","WGN07D61","STP",2017,1,"6.9","3.5"
"WGN07","WGN07D62","STP",2017,1,"8.5","5.719672131"
"WGN07","WGN07D63","STP",2017,1,"8.2","4.242253521"
"WGN07","WGN07D64","STP",2017,1,"7.4","3.995652174"
"WGN07","WGN07D65","STP",2017,1,"8","4.453055142"
"WGN15","WGN15C01","STP",2017,1,"8.8","4.575"
"WGN15","WGN15C02","STP",2017,1,"8.2","4.567164179"
"WGN15","WGN15C03","STP",2017,1,"8.9","4.233333333"
"WGN15","WGN15C04","STP",2017,1,"8.7","3.991525424"
"WGN15","WGN15C05","STP",2017,1,"9.5","4.782692308"
"WGN15","WGN15C06","STP",2017,1,"8.4","4.120588235"
"WGN15","WGN15C07","STP",2017,1,"10.1","5.182978723"
"WGN15","WGN15C08","STP",2017,1,"8.8","4.276190476"
"WGN15","WGN15C09","STP",2017,1,"8.8","4.817910448"
"WGN15","WGN15C10","STP",2017,1,"8.3",NA
"WGN15","WGN15C11","STP",2017,1,"9.7","4.416393443"
"WGN15","WGN15C12","STP",2017,1,"8.8","3.95"
"WGN15","WGN15C13","STP",2017,1,"9.2","4.339285714"
"WGN15","WGN15C14","STP",2017,1,"8.1","4.380952381"
"WGN15","WGN15C15","STP",2017,1,"9.3","4.555932203"
"WGN15","WGN15C16","STP",2017,1,"9.1","3.724137931"
"WGN15","WGN15C17","STP",2017,1,"9","5.012903226"
"WGN15","WGN15C18","STP",2017,1,"8.6","5.394545455"
"WGN15","WGN15C19","STP",2017,1,"9.1","4.54978355"
"WGN15","WGN15C20","STP",2017,1,"8.6","3.756716418"
"WGN15","WGN15C21","STP",2017,1,"9.6","4.455944056"
"WGN15","WGN15C22","STP",2017,1,"8.7","3.579310345"
"WGN15","WGN15C23","STP",2017,1,"9.8","3.632142857"
"WGN15","WGN15C24","STP",2017,1,"8","5.15052161"
"WGN15","WGN15C25","STP",2017,1,"7.3","3.142857143"
"WGN15","WGN15C26","STP",2017,1,"7.5","3.701754386"
"WGN15","WGN15C27","STP",2017,1,"9.1","3.46744186"
"WGN15","WGN15C28","STP",2017,1,"9.4","4.469945355"
"WGN15","WGN15C29","STP",2017,1,"8.2","4.194117647"
"WGN15","WGN15C30","STP",2017,1,"8.4","4.524657534"
"WGN15","WGN15C31","STP",2017,1,"9.7","3.576315789"
"WGN15","WGN15C32","STP",2017,1,"8.9","4.423880597"
"WGN15","WGN15C33","STP",2017,1,"8.2","5.498181818"
"WGN15","WGN15C34","STP",2017,1,"9","6.009230769"
"WGN15","WGN15C35","STP",2017,1,"8.8","4.184745763"
"WGN15","WGN15C36","STP",2017,1,"9.2","5.544444444"
"WGN15","WGN15C37","STP",2017,1,"9","4.757575758"
"WGN15","WGN15C38","STP",2017,1,"9.2","4.606153846"
"WGN15","WGN15C39","STP",2017,1,"8","3.437704918"
"WGN15","WGN15C40","STP",2017,1,"8.3","4.98"
"WGN15","WGN15C41","STP",2017,1,"8.8","4.409090909"
"WGN15","WGN15C42","STP",2017,1,"8.4","5.18125"
"WGN15","WGN15C43","STP",2017,1,"9.2","4.633783784"
"WGN15","WGN15C44","STP",2017,1,"8.2","3.604411765"
"WGN15","WGN15C45","STP",2017,1,"8.4","4.108504399"
"WGN15","WGN15C46","STP",2017,1,"8.2","3.466101695"
"WGN15","WGN15C47","STP",2017,1,"8.8","3.843910806"
"WGN15","WGN15C48","STP",2017,1,"9.1","3.201149425"
"WGN15","WGN15C49","STP",2017,1,"8.6","4.357627119"
"WGN15","WGN15C50","STP",2017,1,"8.9","4.811059908"
"WGN15","WGN15C51","STP",2017,1,"8.8","6.368918919"
"WGN15","WGN15C52","STP",2017,1,"8.8","3.333333333"
"WGN15","WGN15C53","STP",2017,1,NA,NA
"WGN15","WGN15C54","STP",2017,1,"9.6","4.262686567"
"WGN15","WGN15C55","STP",2017,1,"9.4","5.034246575"
"WGN15","WGN15C56","STP",2017,1,"9.8","4.291525424"
"WGN15","WGN15C57","STP",2017,1,"9","3.166666667"
"WGN15","WGN15C58","STP",2017,1,"7.5","4.330645161"
"WGN15","WGN15C59","STP",2017,1,"8.2","4.924731183"
"WGN15","WGN15C60","STP",2017,1,"8.9","3.760273973"
"WGN15","WGN15C61","STP",2017,1,"8.7","4.607655502"
"WGN15","WGN15C62","STP",2017,1,"8.4","3.931034483"
"WGN15","WGN15C63","STP",2017,1,"8","3.747126437"
"WGN15","WGN15C64","STP",2017,1,"8.7","4.77"
