"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","seed_area","seeds_per_spike"
"WGN07","D",14,28,"WGN07D14",1364,"STP",2017,2,44,16,NA,"8","4.67"
"WGN07","C",15,29,"WGN07C15",15,"STP",2017,1,22,3,NA,"7.2","3.512903226"
"WGN07","C",15,29,"WGN07C15",1300,"STP",2017,2,37,40,NA,"7.6","3.496551724"
"WGN07","D",15,30,"WGN07D15",80,"STP",2017,1,10,23,NA,"6.9","3.907894737"
"WGN07","D",15,30,"WGN07D15",1365,"STP",2017,2,36,40,NA,"8.5","4.314671815"
"WGN07","C",16,31,"WGN07C16",16,"STP",2017,1,1,22,NA,"7.7","3.643421053"
"WGN07","C",16,31,"WGN07C16",1301,"STP",2017,2,55,38,NA,"7.6","4.025675676"
"WGN07","D",16,32,"WGN07D16",81,"STP",2017,1,28,3,NA,"8.1","4.15"
"WGN07","D",16,32,"WGN07D16",1366,"STP",2017,2,34,24,NA,"7.7","4.572413793"
"WGN07","C",17,33,"WGN07C17",17,"STP",2017,1,26,18,NA,"7.3","4.367088608"
"WGN07","C",17,33,"WGN07C17",1302,"STP",2017,2,51,39,NA,"7.8","4.097368421"
"WGN07","D",17,34,"WGN07D17",82,"STP",2017,1,3,21,NA,"8.5","4.317391304"
"WGN07","D",17,34,"WGN07D17",1367,"STP",2017,2,37,2,NA,"9.3","3.626865672"
"WGN07","C",18,35,"WGN07C18",18,"STP",2017,1,7,29,NA,"8.4","4.711764706"
"WGN07","C",18,35,"WGN07C18",1303,"STP",2017,2,60,11,NA,"8.1","4.743103448"
"WGN07","D",18,36,"WGN07D18",83,"STP",2017,1,2,22,NA,"7.4","2.368421053"
"WGN07","D",18,36,"WGN07D18",1368,"STP",2017,2,56,40,NA,"7.3","2.1"
"WGN07","C",19,37,"WGN07C19",19,"STP",2017,1,15,34,NA,"7.1","2.732432432"
"WGN07","C",19,37,"WGN07C19",1304,"STP",2017,2,37,22,NA,"7.1","3.404347826"
"WGN07","D",19,38,"WGN07D19",84,"STP",2017,1,31,40,NA,"8.2","3.752054795"
"WGN07","D",19,38,"WGN07D19",1369,"STP",2017,2,52,19,NA,"8","3.9609375"
"WGN07","C",20,39,"WGN07C20",20,"STP",2017,1,24,4,NA,"7.1","3.563636364"
"WGN07","C",20,39,"WGN07C20",1305,"STP",2017,2,62,18,NA,"7.1","4.742307692"
"WGN07","D",20,40,"WGN07D20",85,"STP",2017,1,20,5,NA,"7.2","3.026888604"
"WGN07","D",20,40,"WGN07D20",1370,"STP",2017,2,49,39,NA,"7","3.621212121"
"WGN07","C",21,41,"WGN07C21",21,"STP",2017,1,4,3,NA,"7.7","4.208219178"
"WGN07","C",21,41,"WGN07C21",1306,"STP",2017,2,45,41,NA,"8.8","4.684615385"
"WGN07","D",21,42,"WGN07D21",86,"STP",2017,1,14,30,NA,"8.7","3.15"
"WGN07","D",21,42,"WGN07D21",1371,"STP",2017,2,60,23,NA,"7.9","3.204"
"WGN07","C",22,43,"WGN07C22",22,"STP",2017,1,20,24,"self",NA,NA
"WGN07","C",NA,43,NA,NA,"STP",2017,2,NA,NA,NA,NA,NA
"WGN07","D",22,44,"WGN07D22",87,"STP",2017,1,30,18,NA,"7.3","3.70625"
"WGN07","D",22,44,"WGN07D22",1372,"STP",2017,2,58,12,NA,"7.6","3.82173913"
"WGN07","C",23,45,"WGN07C23",23,"STP",2017,1,10,40,"self",NA,NA
"WGN07","C",23,45,"WGN07C23",1308,"STP",2017,2,53,13,"self",NA,NA
"WGN07","D",23,46,"WGN07D23",88,"STP",2017,1,23,13,NA,"7.2","3.6796875"
"WGN07","D",23,46,"WGN07D23",1373,"STP",2017,2,33,16,NA,"7.5","3.203076923"
"WGN07","C",24,47,"WGN07C24",24,"STP",2017,1,27,22,NA,"7.4","4.80078125"
"WGN07","C",24,47,"WGN07C24",1309,"STP",2017,2,62,12,NA,"6.9","2.296969697"
"WGN07","D",24,48,"WGN07D24",89,"STP",2017,1,13,30,NA,"7","3.281538462"
"WGN07","D",24,48,"WGN07D24",1374,"STP",2017,2,50,34,NA,"7.5","2.109375"
"WGN07","C",25,49,"WGN07C25",25,"STP",2017,1,31,2,NA,"8.4","4.558333333"
"WGN07","C",25,49,"WGN07C25",1310,"STP",2017,2,56,20,NA,"8","5.34"
"WGN07","D",25,50,"WGN07D25",90,"STP",2017,1,29,14,NA,"8.6","5.488732394"
"WGN07","D",25,50,"WGN07D25",1375,"STP",2017,2,62,23,NA,"7.8","4.528"
"WGN07","C",26,51,"WGN07C26",26,"STP",2017,1,32,5,NA,"7.6","4.260759494"
"WGN07","C",26,51,"WGN07C26",1311,"STP",2017,2,45,36,NA,NA,NA
"WGN07","D",26,52,"WGN07D26",91,"STP",2017,1,25,10,NA,"7.8","4.045833333"
"WGN07","D",26,52,"WGN07D26",1376,"STP",2017,2,58,32,NA,"7.7","3.880263158"
"WGN07","C",27,53,"WGN07C27",27,"STP",2017,1,13,19,NA,"7.5","5.234848485"
"WGN07","C",27,53,"WGN07C27",1312,"STP",2017,2,35,35,NA,"7.2","4.901351351"
"WGN07","D",NA,54,NA,NA,"STP",2017,1,NA,NA,NA,NA,NA
"WGN07","D",27,54,"WGN07D27",1377,"STP",2017,2,39,6,NA,"8.3","3.806756757"
"WGN07","C",28,55,"WGN07C28",28,"STP",2017,1,31,29,NA,"7.5","4.413043478"
"WGN07","C",28,55,"WGN07C28",1313,"STP",2017,2,50,31,NA,"7.3","4.715492958"
"WGN07","D",28,56,"WGN07D28",93,"STP",2017,1,19,24,NA,"7.9","3.075"
"WGN07","D",28,56,"WGN07D28",1378,"STP",2017,2,45,23,NA,"7.8","4.022727273"
"WGN07","C",29,57,"WGN07C29",29,"STP",2017,1,15,1,NA,"7.7","4.177941176"
"WGN07","C",29,57,"WGN07C29",1314,"STP",2017,2,50,19,NA,"8.5","4.432258065"
"WGN07","D",29,58,"WGN07D29",94,"STP",2017,1,22,20,NA,"8.1","4.6078125"
"WGN07","D",29,58,"WGN07D29",1379,"STP",2017,2,39,12,NA,"8.3","4.195714286"
"WGN07","C",30,59,"WGN07C30",30,"STP",2017,1,29,31,NA,"8","4.105263158"
"WGN07","C",30,59,"WGN07C30",1315,"STP",2017,2,56,12,NA,"6.9","3.548571429"
"WGN07","D",30,60,"WGN07D30",95,"STP",2017,1,5,26,NA,"8.1","4.195454545"
"WGN07","D",30,60,"WGN07D30",1380,"STP",2017,2,62,36,NA,"7.6","4.516363636"
"WGN07","C",31,61,"WGN07C31",31,"STP",2017,1,3,12,NA,"8.5","4.385294118"
"WGN07","C",31,61,"WGN07C31",1316,"STP",2017,2,39,34,NA,"8.3","4.268918919"
"WGN07","D",31,62,"WGN07D31",96,"STP",2017,1,27,35,NA,NA,NA
"WGN07","D",31,62,"WGN07D31",1381,"STP",2017,2,51,27,NA,NA,NA
"WGN07","C",32,63,"WGN07C32",32,"STP",2017,1,28,30,NA,"7.3","4.023529412"
"WGN07","C",32,63,"WGN07C32",1317,"STP",2017,2,54,2,NA,"6.7","3.9375"
"WGN07","D",32,64,"WGN07D32",97,"STP",2017,1,6,21,NA,"7.7","5.344067797"
"WGN07","D",32,64,"WGN07D32",1382,"STP",2017,2,57,35,NA,"8","5.106"
"WGN07","C",33,65,"WGN07C33",33,"STP",2017,1,28,18,"self",NA,NA
"WGN07","C",33,65,"WGN07C33",1318,"STP",2017,2,41,42,"self",NA,NA
"WGN07","C",33,66,"WGN07D33",98,"STP",2017,1,24,19,NA,"7.6","4.450980392"
"WGN07","C",33,66,"WGN07D33",1383,"STP",2017,2,35,3,NA,"7.5","4.67"
"WGN07","D",34,67,"WGN07C34",34,"STP",2017,1,11,19,NA,"7.6","2.988679245"
"WGN07","D",34,67,"WGN07C34",1319,"STP",2017,2,34,7,NA,"7.9","2.496428571"
"WGN07","C",34,68,"WGN07D34",99,"STP",2017,1,1,25,NA,"6.9","3.803076923"
"WGN07","C",34,68,"WGN07D34",1384,"STP",2017,2,42,31,NA,"7","3.032876712"
"WGN07","D",35,69,"WGN07C35",35,"STP",2017,1,29,1,NA,"9.3","4.472"
"WGN07","D",35,69,"WGN07C35",1320,"STP",2017,2,57,3,NA,"8","4.729411765"
"WGN07","C",35,70,"WGN07D35",100,"STP",2017,1,16,18,"self",NA,NA
"WGN07","C",35,70,"WGN07D35",1385,"STP",2017,2,54,21,"self",NA,NA
"WGN07","D",36,71,"WGN07C36",36,"STP",2017,1,3,19,NA,"9.3","4.65"
"WGN07","D",36,71,"WGN07C36",1321,"STP",2017,2,52,22,NA,"8.3","4.408805031"
"WGN07","C",36,72,"WGN07D36",101,"STP",2017,1,32,7,NA,NA,NA
"WGN07","C",36,72,"WGN07D36",1386,"STP",2017,2,34,13,NA,NA,NA
"WGN07","D",37,73,"WGN07C37",37,"STP",2017,1,19,30,NA,"7.3","5.22"
"WGN07","D",37,73,"WGN07C37",1322,"STP",2017,2,64,35,NA,"7.3","5.060606061"
"WGN07","C",37,74,"WGN07D37",102,"STP",2017,1,25,20,NA,"8.8","5.042465753"
"WGN07","C",37,74,"WGN07D37",1387,"STP",2017,2,44,7,NA,"8.1","3.986842105"
"WGN07","D",38,75,"WGN07C38",38,"STP",2017,1,3,27,NA,"8.2","4.993846154"
"WGN07","D",38,75,"WGN07C38",1323,"STP",2017,2,33,41,NA,"8","4.363636364"
"WGN07","C",38,76,"WGN07D38",103,"STP",2017,1,31,31,NA,"7.5","4.275524476"
"WGN07","C",38,76,"WGN07D38",1388,"STP",2017,2,51,36,NA,"6.8","4.306779661"
"WGN07","D",39,77,"WGN07C39",39,"STP",2017,1,13,16,NA,"8.4","5.008264463"
"WGN07","D",39,77,"WGN07C39",1324,"STP",2017,2,55,8,NA,"7.4","4.385526316"
"WGN07","C",39,78,"WGN07D39",104,"STP",2017,1,32,16,NA,"8.3","3.912676056"
"WGN07","C",39,78,"WGN07D39",1389,"STP",2017,2,33,26,NA,"8.9","3.9375"
"WGN07","D",40,79,"WGN07C40",40,"STP",2017,1,28,13,NA,"8.1","3.825"
"WGN07","D",40,79,"WGN07C40",1325,"STP",2017,2,44,18,NA,"8.4","3.881538462"
"WGN07","C",40,80,"WGN07D40",105,"STP",2017,1,29,12,NA,"8.6","3.952941176"
"WGN07","C",40,80,"WGN07D40",1390,"STP",2017,2,53,36,NA,"8.4","3.823809524"
"WGN07","D",41,81,"WGN07C41",41,"STP",2017,1,30,32,NA,"7.1","4.97979798"
"WGN07","D",41,81,"WGN07C41",1326,"STP",2017,2,61,38,NA,"7","5.872881356"
"WGN07","C",41,82,"WGN07D41",106,"STP",2017,1,20,23,NA,"7.9","4.362295082"
"WGN07","C",41,82,"WGN07D41",1391,"STP",2017,2,52,14,NA,"8.3","4.310526316"
"WGN07","D",42,83,"WGN07C42",42,"STP",2017,1,19,17,NA,"8","2.826446281"
"WGN07","D",42,83,"WGN07C42",1327,"STP",2017,2,61,33,NA,"7.4","4"
"WGN07","C",42,84,"WGN07D42",107,"STP",2017,1,11,41,NA,"8","4.617391304"
"WGN07","C",42,84,"WGN07D42",1392,"STP",2017,2,40,24,NA,"8.8","4.626760563"
"WGN07","D",43,85,"WGN07C43",43,"STP",2017,1,30,3,NA,"8.1","4.104761905"
"WGN07","D",43,85,"WGN07C43",1328,"STP",2017,2,52,26,NA,"7.9","3.870833333"
"WGN07","C",43,86,"WGN07D43",108,"STP",2017,1,13,40,NA,"8.2","4.530434783"
"WGN07","C",43,86,"WGN07D43",1393,"STP",2017,2,46,1,NA,"8.3","4.404545455"
"WGN07","D",44,87,"WGN07C44",44,"STP",2017,1,23,29,NA,"8.2","5.201694915"
"WGN07","D",44,87,"WGN07C44",1329,"STP",2017,2,36,19,NA,"7.4","4.887096774"
"WGN07","C",44,88,"WGN07D44",109,"STP",2017,1,30,28,NA,"7.2","4.956521739"
"WGN07","C",44,88,"WGN07D44",1394,"STP",2017,2,59,17,NA,"7.6","4.813432836"
"WGN07","D",45,89,"WGN07C45",45,"STP",2017,1,23,21,NA,"8.1","3.6375"
"WGN07","D",45,89,"WGN07C45",1330,"STP",2017,2,36,17,NA,"8.3","3.599105812"
"WGN07","C",45,90,"WGN07D45",110,"STP",2017,1,3,40,NA,"8.3","4.579411765"
"WGN07","C",45,90,"WGN07D45",1395,"STP",2017,2,59,1,NA,"8.1","4.421311475"
"WGN07","D",46,91,"WGN07C46",46,"STP",2017,1,2,11,NA,"8.5","4.425974026"
"WGN07","D",46,91,"WGN07C46",1331,"STP",2017,2,51,24,NA,"9.4","4.720588235"
"WGN07","C",46,92,"WGN07D46",111,"STP",2017,1,14,22,NA,"8","4.06122449"
"WGN07","C",46,92,"WGN07D46",1396,"STP",2017,2,45,11,NA,"8.1","3.948251748"
