"WGN15D62",NA
"WGN15C63",NA
"WGN15D63",NA
"WGN15C64",NA
"WGN15D64",NA
"WGN15C65",NA
"WGN15D65",NA
"WGN26C01",NA
"WGN26D01","self"
"WGN26C02",NA
"WGN26D02",NA
"WGN26C03",NA
"WGN26D03",NA
"WGN26C04",NA
"WGN26D04",NA
"WGN26C05",NA
"WGN26D05",NA
"WGN26C06",NA
"WGN26D06",NA
"WGN26C07",NA
"WGN26D07",NA
"WGN26C08",NA
"WGN26D08","self"
"WGN26C09",NA
"WGN26D09",NA
"WGN26C10",NA
"WGN26D10",NA
"WGN26C11",NA
"WGN26D11",NA
"WGN26C12",NA
"WGN26D12",NA
"WGN26C13",NA
"WGN26D13",NA
"WGN26C14",NA
"WGN26D14",NA
"WGN26C15",NA
"WGN26D15",NA
"WGN26C16",NA
"WGN26D16",NA
"WGN26C17",NA
"WGN26D17",NA
"WGN26C18",NA
"WGN26D18",NA
"WGN26C19","outcross"
"WGN26D19",NA
"WGN26C20",NA
"WGN26D20",NA
"WGN26C21",NA
"WGN26D21",NA
"WGN26C22",NA
"WGN26D22",NA
"WGN26C23",NA
"WGN26D23",NA
"WGN26C24",NA
"WGN26D24",NA
"WGN26C25",NA
"WGN26D25",NA
"WGN26C26",NA
"WGN26D26",NA
"WGN26C27",NA
"WGN26D27",NA
"WGN26C28",NA
"WGN26D28",NA
"WGN26C29",NA
"WGN26D29",NA
"WGN26C30",NA
"WGN26D30",NA
"WGN26C31",NA
"WGN26D31",NA
"WGN26C32","outcross"
"WGN26D32",NA
"WGN26C33",NA
"WGN26D33",NA
"WGN26C34",NA
"WGN26D34",NA
"WGN26C35",NA
"WGN26D35",NA
"WGN26C36",NA
"WGN26D36",NA
"WGN26C37",NA
"WGN26D37",NA
"WGN26C38",NA
"WGN26D38",NA
"WGN26C39",NA
"WGN26D39",NA
"WGN26C40",NA
"WGN26D40",NA
"WGN26C41",NA
"WGN26D41",NA
"WGN26C42",NA
"WGN26D42","outcross"
"WGN26C43",NA
"WGN26D43",NA
