"height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","merge_col","flag_leaf_area","anthesis_score"
"105","80","7.666666667","0.6","2.383333333","24.81842","0.535403727","0.875","0.742157778","8.301",23.3333333333333,"WGN07C43_STP_2017_1",18.7,8
"95","71","10","0.45112782","2.123333333","27.212832","0.520169492","0.887218045","0.8278432","8.407",19.6666666666667,"WGN07C44_STP_2017_1",23.1,8
"100","73","9","0.481751825","1.956666667",NA,"0.404166667","1.051094891","0.721808","8.348",24,"WGN07C45_STP_2017_1",22,8
"110","90","8.666666667","0.76056338","2.14","57.332652","0.510689311","0.985915493","0.864859273","9.259",23.3333333333333,"WGN07C46_STP_2017_1",26,8
"100","44","9","0.467065868","2.383333333","29.864","0.486384977","0.850299401","0.7964","7.657",23.6666666666667,"WGN07C47_STP_2017_1",25.2,8
"110","81","7.666666667","0.592592593","2.333333333","37.161509","0.479018897","0.901234568","0.684600818","8.678",24.3333333333333,"WGN07C48_STP_2017_1",25.2,8
"115","121","10.33333333","0.662790698","2.32","51.825057","0.502419355","0.837209302","1.0150457","8.304",24,"WGN07C49_STP_2017_1",25.2,9
"100","45","9.333333333","0.475609756","2.326666667","23.946454","0.455934066","0.792682927","0.7943054","10.013",21.6666666666667,"WGN07C50_STP_2017_1",22,8
"110","50","8.333333333","0.471910112","2.376666667","30.045138","0.54573913","0.775280899","0.9828738","10.171",23,"WGN07C51_STP_2017_1",22.8,6
"115","81","7.666666667","0.485294118","2.136666667","22.37268","0.471317326","0.985294118","0.582248","7.911",22.3333333333333,"WGN07C52_STP_2017_1",18.7,8
"110","70","10","0.72","2.846666667","38.507131","0.472987013","1.026666667","0.9295031","7.67",25.6666666666667,"WGN07C53_STP_2017_1",28.6,9
"110","50","9.333333333","0.476821192","2.046666667",NA,"0.333352535","0.821192053","0.5505165","9.25",20.6666666666667,"WGN07C54_STP_2017_1",25.2,8
"80","17","7","0.517985612","2.36","4.24535","0.390977444","0.820143885","0.362261111","9.64",19,"WGN07C55_STP_2017_1",13.2,7
"95","40","8.333333333","0.584415584","2.46","22.58368","0.524492308","0.844155844","0.836948","9.565",21.6666666666667,"WGN07C56_STP_2017_1",21.6,7
