famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN26	0.720102636286641	0.00323525781248186	1103	0.713754681768519	0.726450590804763	 A    
WGN15	0.735004650772539	0.003032490557407	1103	0.729054549342976	0.740954752202103	  B   
WGN39	0.738374355056735	0.00298423292394095	1103	0.732518940752634	0.744229769360836	  B   
WGN63	0.747769700316829	0.00303382494636128	1103	0.741816980659946	0.753722419973712	  B   
WGN36	0.770083524847353	0.00309078783648636	1103	0.764019037332484	0.776148012362223	   C  
WGN45	0.770446626258048	0.00338221842255642	1103	0.763810317821079	0.777082934695017	   C  
WGN55	0.816156725212881	0.0029954845984445	1103	0.810279233806385	0.822034216619377	    D 
WGN38	0.820978288288233	0.00338535380556108	1103	0.814335827862809	0.827620748713657	    D 
WGN46	0.823655790865848	0.00304537566542658	1103	0.817680407346136	0.829631174385561	    D 
WGN07	0.897631290123382	0.00298670314235927	1103	0.891771028961603	0.903491551285161	     E
