famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	7.31804494457859	0.0415384465993206	1134	7.23654409767529	7.3995457914819	 A     
WGN55	7.95349322425003	0.0413595292732992	1134	7.87234342354104	8.03464302495902	  B    
WGN45	8.0940313432259	0.0448249955664135	1134	8.00608209619846	8.18198059025334	  BC   
WGN15	8.21491768154039	0.0417038147531343	1134	8.13309237270627	8.29674299037451	   C   
WGN46	8.21723230185181	0.0423678675714086	1134	8.13410408278612	8.3003605209175	   C   
WGN38	8.47499009900981	0.0468100478017816	1134	8.38314606410332	8.5668341339163	    D  
WGN36	8.49312752164677	0.0431644996518223	1134	8.40843626413021	8.57781877916334	    D  
WGN26	8.49337733847284	0.0435949430849312	1134	8.40784152591837	8.57891315102731	    D  
WGN39	8.89311904761903	0.0413589686675609	1134	8.81197034685109	8.97426774838698	     E 
WGN63	9.49978574191467	0.0425309366972797	1134	9.41633757174463	9.58323391208471	      F
