plantID3	famID	emmean	SE	df	lower.CL	upper.CL
1	WGN07	6.75000000000116	0.493501176823734	1114	5.78170342937352	7.7182965706288
2	WGN07	5.23050000000002	0.493501176824072	1114	4.26220342937171	6.19879657062832
3	WGN07	6.08999999999978	0.493501176824083	1114	5.12170342937146	7.05829657062811
4	WGN07	7.10000000000024	0.493501176824119	1114	6.13170342937185	8.06829657062864
5	WGN07	6.91349999999973	0.493501176824098	1114	5.94520342937138	7.88179657062809
6	WGN07	6.19699999999996	0.493501176824083	1114	5.22870342937163	7.16529657062828
7	WGN07	6.69299999999997	0.493501176824092	1114	5.72470342937163	7.66129657062832
8	WGN07	8.19400000000002	0.493501176824089	1114	7.22570342937168	9.16229657062836
9	WGN07	8.35000000000003	0.493501176824088	1114	7.3817034293717	9.31829657062837
10	WGN07	7.07399999999998	0.493501176824083	1114	6.10570342937166	8.04229657062831
11	WGN07	5.69499999999998	0.493501176824088	1114	4.72670342937164	6.66329657062832
12	WGN07	8.14749999999996	0.493501176824086	1114	7.17920342937162	9.11579657062829
13	WGN07	7.11149999999987	0.49350117682408	1114	6.14320342937155	8.07979657062819
14	WGN07	7.04249999999997	0.493501176824074	1114	6.07420342937166	8.01079657062828
15	WGN07	8.1655	0.493501176824085	1114	7.19720342937167	9.13379657062833
16	WGN07	7.24300000000005	0.493501176824089	1114	6.27470342937171	8.21129657062839
17	WGN07	8.10049999999999	0.493501176824079	1114	7.13220342937167	9.0687965706283
18	WGN07	9.10849999999986	0.493501176824076	1114	8.14020342937155	10.0767965706282
20	WGN07	6.52700000000001	0.493501176824086	1114	5.55870342937168	7.49529657062834
21	WGN07	7.244	0.493501176824086	1114	6.27570342937167	8.21229657062833
22	WGN07	5.99050000000005	0.49350117682408	1114	5.02220342937173	6.95879657062837
23	WGN07	6.82649999999998	0.493501176824087	1114	5.85820342937165	7.79479657062832
24	WGN07	8.95250000000007	0.493501176824085	1114	7.98420342937174	9.9207965706284
25	WGN07	5.999	0.493501176824084	1114	5.03070342937167	6.96729657062832
26	WGN07	7.20299999999997	0.493501176824091	1114	6.23470342937163	8.17129657062831
27	WGN07	6.62950000000007	0.493501176824094	1114	5.66120342937172	7.59779657062842
28	WGN07	6.50399999999996	0.493501176824081	1114	5.53570342937164	7.47229657062829
29	WGN07	7.10100000000004	0.493501176824077	1114	6.13270342937173	8.06929657062836
30	WGN07	6.67549999999996	0.493501176824084	1114	5.70720342937163	7.64379657062829
31	WGN07	5.59399999999997	0.493501176824089	1114	4.62570342937163	6.56229657062831
32	WGN07	8.21899999999991	0.493501176824076	1114	7.2507034293716	9.18729657062823
33	WGN07	6.68649999999989	0.493501176824097	1114	5.71820342937153	7.65479657062824
34	WGN07	6.96349999999999	0.49350117682409	1114	5.99520342937165	7.93179657062833
35	WGN07	6.20561524663674	0.698072523193563	1114	4.83593010301014	7.57530039026334
36	WGN07	8.12799999999997	0.493501176824083	1114	7.15970342937165	9.0962965706283
37	WGN07	7.68700000000001	0.493501176824088	1114	6.71870342937167	8.65529657062835
38	WGN07	7.62549999999996	0.493501176824087	1114	6.65720342937162	8.59379657062829
39	WGN07	5.47250000000003	0.493501176824083	1114	4.5042034293717	6.44079657062835
40	WGN07	5.37000000000003	0.493501176824081	1114	4.4017034293717	6.33829657062835
41	WGN07	6.51699999999997	0.493501176824095	1114	5.54870342937162	7.48529657062832
42	WGN07	7.28050000000002	0.493501176824073	1114	6.31220342937171	8.24879657062832
44	WGN07	5.43599999999998	0.49350117682408	1114	4.46770342937166	6.4042965706283
46	WGN07	6.80700000000001	0.493501176824094	1114	5.83870342937166	7.77529657062836
47	WGN07	6.48199999999998	0.493501176824095	1114	5.51370342937163	7.45029657062833
48	WGN07	6.7405	0.49350117682409	1114	5.77220342937166	7.70879657062834
49	WGN07	6.11850000000001	0.493501176824099	1114	5.15020342937166	7.08679657062837
50	WGN07	7.49799999999998	0.493501176824085	1114	6.52970342937165	8.46629657062831
51	WGN07	6.08361524663681	0.69807252319356	1114	4.71393010301022	7.4533003902634
52	WGN07	5.79099999999997	0.493501176824076	1114	4.82270342937166	6.75929657062828
53	WGN07	6.86850000000001	0.493501176824104	1114	5.90020342937164	7.83679657062837
54	WGN07	7.03499999999989	0.493501176824085	1114	6.06670342937156	8.00329657062822
55	WGN07	5.89450000000003	0.493501176824078	1114	4.92620342937171	6.86279657062835
56	WGN07	6.604	0.49350117682409	1114	5.63570342937166	7.57229657062834
57	WGN07	6.55849999999999	0.493501176824086	1114	5.59020342937166	7.52679657062832
58	WGN07	6.86099999999999	0.493501176824089	1114	5.89270342937165	7.82929657062832
59	WGN07	6.44700000000004	0.493501176824089	1114	5.4787034293717	7.41529657062837
60	WGN07	6.91049999999996	0.493501176824089	1114	5.94220342937162	7.8787965706283
61	WGN07	6.28299999999999	0.493501176824085	1114	5.31470342937166	7.25129657062832
63	WGN07	6.23749999999999	0.493501176824085	1114	5.26920342937166	7.20579657062832
64	WGN07	6.57850000000001	0.493501176824089	1114	5.61020342937167	7.54679657062835
66	WGN07	7.32149999999998	0.493501176824073	1114	6.35320342937167	8.28979657062828
67	WGN07	6.82050000000002	0.493501176824081	1114	5.8522034293717	7.78879657062834
68	WGN07	5.8595	0.493501176824084	1114	4.89120342937168	6.82779657062833
69	WGN07	6.85738475336323	0.698072523193573	1114	5.48769960973661	8.22706989698985
71	WGN07	9.04500000000002	0.493501176824087	1114	8.07670342937168	10.0132965706284
73	WGN07	6.1715	0.493501176824083	1114	5.20320342937168	7.13979657062833
