famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	6.91164438726752	0.0459435687531788	1114	6.82149870544275	7.00179006909228	 A      
WGN46	7.220702315068	0.0460968789801404	1114	7.1302558238957	7.3111488062403	  B     
WGN45	7.42082496389752	0.0478690945236961	1114	7.32690121610694	7.51474871168809	  BC    
WGN55	7.5305656310058	0.0449997928523752	1114	7.4422717278821	7.61885953412951	   CD   
WGN38	7.69269852787971	0.0503466139098699	1114	7.59391364978599	7.79148340597343	    D   
WGN15	7.96955507802677	0.0443164534876701	1114	7.88260195217877	8.05650820387477	     E  
WGN36	8.1055895237359	0.0490633827712349	1114	8.00932246802886	8.20185657944294	     E  
WGN26	8.35652313609684	0.0467913335716011	1114	8.26471405850946	8.44833221368422	      F 
WGN39	8.53622679550149	0.0451731184345796	1114	8.44759281098642	8.62486078001655	      F 
WGN63	8.93464249797838	0.0462983481573386	1114	8.84380070498609	9.02548429097068	       G
