famID	response	SE	df	lower.CL	upper.CL	.group
WGN45	39.3096606326085	0.992661878622236	1141	37.3861377625517	41.2814328502038	 A     
WGN26	42.6873328659753	1.00793544441823	1141	40.7326225873734	44.6878525300828	 A     
WGN07	58.2275217581464	1.13538006464571	1141	56.0211611805175	60.4764953518781	  B    
WGN36	62.8815841713048	1.22606970373424	1141	60.4989871683794	65.3101956945936	  B    
WGN15	70.7959696166962	1.26185578424922	1141	68.341797010618	73.2934333568568	   C   
WGN55	75.3136247392268	1.28569867236193	1141	72.8121490952016	77.8573470931376	   CD  
WGN38	75.5315144014727	1.45799486832256	1141	72.6979482778161	78.4192521484569	   CD  
WGN46	79.7177430823423	1.35500520515103	1141	77.0813274090574	82.3984905166946	    DE 
WGN63	84.8530666618443	1.39259505847748	1141	82.1427279369222	87.6073970324103	     E 
WGN39	98.1598839500993	1.46780863582594	1141	95.3011003136092	101.060914296475	      F
