plantID3	famID	response	SE	df	lower.CL	upper.CL
1	WGN07	46.4986558750968	11.1638923044745	1141	27.174173380658	70.9822975659593
2	WGN07	66.2878570734022	13.3294560966989	1141	42.714440383183	95.0204329600429
3	WGN07	32.2561463023941	9.29825985111536	1141	16.5921191389388	53.0793326622726
4	WGN07	18.9472218138475	7.12636739723136	1141	7.5445459668472	35.5090568572709
5	WGN07	108.25174415775	17.0338528035382	1141	77.4101334300546	144.252514081869
6	WGN07	42.1665006633532	10.6311248707282	1141	23.8873319923948	65.604828530734
7	WGN07	46.7934372436047	11.1992235213071	1141	27.3996333022896	71.3464003813424
8	WGN07	43.4935886896179	10.7971232856525	1141	24.8887236138019	67.2576129618564
9	WGN07	108.245370171897	17.0333513098394	1141	77.4047433975411	144.245156142676
10	WGN07	20.2082439194737	7.35969347021373	1141	8.34777175457133	37.2278752807986
11	WGN07	91.1372228716443	15.6294369950507	1141	63.0511395383395	124.382465401372
12	WGN07	52.3118189982809	11.8411899971562	1141	31.6584477694201	78.1243494235642
13	WGN07	29.0153426176881	8.81879587641745	1141	14.2920454780042	48.8977989537947
14	WGN07	158.939262291623	20.6400637929797	1141	121.022102348868	202.0155814308
15	WGN07	42.1665006633527	10.6311248707281	1141	23.8873319923945	65.6048285307333
16	WGN07	55.6817334486909	12.2166410128267	1141	34.2917103303543	82.2309157634502
17	WGN07	58.2749891398767	12.4978854387399	1141	36.3331517259161	85.3759857502597
18	WGN07	51.7636101933195	11.7789809071502	1141	31.2322960152663	77.4540835677952
20	WGN07	14.3914284285428	6.21079779118193	1141	4.78514159660039	29.1568744569078
21	WGN07	94.7863616701501	15.9392677298851	1141	66.0923764090109	128.639506127712
22	WGN07	77.9967947400843	14.4588521452665	1141	52.2074518746279	108.945296801963
23	WGN07	109.333075334778	17.1187173335605	1141	78.3249565573471	145.500353308632
24	WGN07	72.1674565472095	13.9080466425258	1141	47.4588190131875	102.035253277654
25	WGN07	19.4047532151503	7.21189675410784	1141	7.83426489802971	36.1344007286933
26	WGN07	73.3969644036173	14.0260211040251	1141	48.45685563541	103.496232368247
27	WGN07	104.990475326482	16.7753036368251	1141	74.6561497684413	140.483960080946
28	WGN07	47.4354385646545	11.2757879202991	1141	27.8914118064339	72.1386245192977
29	WGN07	81.3270871305487	14.7643063369724	1141	54.938429313003	112.874904144517
30	WGN07	70.1068501158679	13.7080495687241	1141	45.7906158945459	99.5822435336124
31	WGN07	52.7596136072777	11.8917629091298	1141	32.0070160356803	78.6713703752973
32	WGN07	45.266660498396	11.0150041929468	1141	26.2343032189636	69.4581769742508
33	WGN07	85.8349737215005	15.1679740868533	1141	58.6543015045819	118.174805134842
34	WGN07	105.599904942881	16.8239203044119	1141	75.1701912821498	141.188777800034
35	WGN07	111.890517979349	17.3177745276283	1141	80.4918399758048	148.448355179317
36	WGN07	30.7970585407779	9.08552563438933	1141	15.5504255410524	51.2028507369261
37	WGN07	34.5428556237469	9.62220394154021	1141	18.2432354898746	56.0016349540418
38	WGN07	96.9071275743569	16.1165952485658	1141	67.8652176939197	131.108196651217
39	WGN07	83.4939754663263	14.9597042862863	1141	56.7219380265287	115.425172102546
40	WGN07	55.553845882952	12.2026036032052	1141	34.1913647977688	82.0754861645578
41	WGN07	56.5579756931981	12.3123901062135	1141	34.9800885190591	83.2950220637597
42	WGN07	68.1749164809662	13.5178538302457	1141	44.2318549087316	97.2771372496233
44	WGN07	66.3380580740401	13.3345024613078	1141	42.7547401880088	95.0805351564939
46	WGN07	45.4325924444281	11.0351743265197	1141	26.3606604498203	69.6636836354583
47	WGN07	43.3014084041418	10.7732428527821	1141	24.7433978186888	67.0185781860173
48	WGN07	46.2717288664426	11.1366174604779	1141	27.0007608506613	70.7018560786465
49	WGN07	99.9774949352211	16.369920269123	1141	70.4385498963846	134.67559917048
50	WGN07	116.314919523629	17.656846888875	1141	84.2509661974554	153.538032046224
51	WGN07	97.9974489131827	16.2070071563211	1141	68.7781467767674	132.375910246021
52	WGN07	67.4916656376067	13.4499451090283	1141	43.68184405064	96.4606464209961
53	WGN07	86.8589667773573	15.2581812056081	1141	59.5013041097503	119.375788641387
54	WGN07	85.3630100733769	21.3963823184482	1141	48.5437573694659	132.505098822669
55	WGN07	45.6545449603641	11.0620966357797	1141	26.5297901762108	69.9384589409399
56	WGN07	66.0307546792273	13.303581338565	1141	42.5081054358218	94.7125631190555
57	WGN07	81.9511904588866	14.8208486443991	1141	55.45159407449	113.609946039706
58	WGN07	36.4159021245863	9.87963671369537	1141	19.611187237721	58.3797762078744
59	WGN07	87.8605745516413	15.3459033362174	1141	60.3307970925833	120.549511207122
60	WGN07	50.2199819783688	11.6020228119967	1141	30.0358675939295	75.5632555592308
61	WGN07	85.9970929249869	15.1822914435151	1141	58.7883294061486	118.365015640248
62	WGN07	0	0	1141	0	3.88757681804573
63	WGN07	58.0907593226415	12.4781144715831	1141	36.1877134412776	85.152964400428
64	WGN07	38.1312075884997	10.1096406425707	1141	20.8752145808645	60.5463597925575
66	WGN07	91.6647553114624	15.6746059058942	1141	63.4900485302783	124.998621289069
67	WGN07	52.3555549644149	11.8461389522256	1141	31.6924736616679	78.1777954635844
68	WGN07	40.5363589374098	10.4236016800076	1141	22.6643601612548	63.5675169099874
69	WGN07	105.504186435157	16.8162937557408	1141	75.0894364081744	141.078095658563
71	WGN07	28.861406616346	8.79537145023198	1141	14.1840692612654	48.6979031678488
73	WGN07	37.4582869338697	10.0200386058676	1141	20.3780971785452	59.6976358856168
