famID	response	SE	df	lower.CL	upper.CL	.group
WGN45	66.8672863673014	1.3615806661112	1125	64.2224467033022	69.5654932073431	 A    
WGN26	67.2198425026553	1.33682897130418	1125	64.6224712839879	69.8683884297034	 A    
WGN07	81.6860775848009	1.44670103525526	1125	78.8722010912131	84.5492726751465	  B   
WGN36	89.0469363432244	1.61325837401031	1125	85.9097319498709	92.2403994820336	   C  
WGN38	95.7562276757551	1.72315775064487	1125	92.4051069078886	99.1670360573308	   CD 
WGN46	96.8028099155068	1.58030175917558	1125	93.7269687265592	99.9283095650779	    D 
WGN15	100.519588087917	1.55403843975107	1125	97.4935712583386	103.591850897085	    D 
WGN55	101.992206162754	1.57749493951533	1125	98.920525207143	105.110851664842	    D 
WGN63	114.836353436167	1.72775687031529	1125	111.471383300484	118.251360084479	     E
WGN39	120.883078426419	1.71731291967544	1125	117.537062196259	124.276055353398	     E
