famID	response	SE	df	lower.CL	upper.CL	.group
WGN07	59.9137056361602	2.0627995951784	1087	55.9345443135332	64.0295837215063	 A    
WGN26	61.4340982649603	2.16587884106368	1087	57.2578175759044	65.7573706164844	 AB   
WGN55	63.9849194327074	2.08666414736223	1087	59.9560724273725	68.1447634391336	 AB   
WGN39	70.9162065931036	2.22235690316537	1087	66.6226443012836	75.3438340628848	  BC  
WGN36	71.5295927316014	2.38740716749617	1087	66.9218403933302	76.2907365037096	  BC  
WGN45	79.8163996311412	2.46964964341236	1087	75.044129561589	84.7357696191297	   CD 
WGN46	80.5854884074012	2.39878439534793	1087	75.9474438672682	85.3609876050898	   CD 
WGN38	84.9951620619987	2.70920853170255	1087	79.7624097491604	90.3941501663154	    DE
WGN15	90.127055363943	2.45870206347659	1087	85.3672756675167	95.0159541638815	    DE
WGN63	92.6567088967464	2.58157290885631	1087	87.6605090030202	97.7913692574989	     E
