famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	18.9278014148775	0.116907652558902	1123	18.6984194039688	19.1571834257861	 A    
WGN26	18.9932952748123	0.122197260209258	1123	18.7535346375845	19.2330559120401	 A    
WGN45	19.8025054109175	0.125666317107155	1123	19.5559382111613	20.0490726106738	  B   
WGN63	20.1170332677525	0.119214027174291	1123	19.8831259684166	20.3509405670885	  BC  
WGN36	20.5398579069006	0.121537768776922	1123	20.3013912437422	20.778324570059	   CD 
WGN39	20.8543832024707	0.115488677611903	1123	20.6277853320322	21.0809810729091	    D 
WGN55	21.0178000668436	0.116812430723936	1123	20.7886048886658	21.2469952450214	    D 
WGN38	21.6311169150725	0.13131811075364	1123	21.3734604515812	21.8887733785639	     E
WGN07	21.6424731182795	0.116443602456723	1123	21.414001610176	21.870944626383	     E
WGN46	22.024331775791	0.118304260184825	1123	21.7922095108556	22.2564540407265	     E
