famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	21.7339046363438	0.121917230073314	961	21.4946499252426	21.973159347445	 A   
WGN26	22.5803057155513	0.125749159317418	961	22.3335310901303	22.8270803409724	  B  
WGN36	23.6657070113591	0.125815029214201	961	23.4188031205085	23.9126109022098	   C 
WGN07	23.8082262590459	0.121657589687977	961	23.569481075477	24.0469714426148	   C 
WGN38	23.8378833378835	0.133372857870322	961	23.5761476951091	24.0996189806578	   C 
WGN39	24.0251743679164	0.119653947442821	961	23.7903612031953	24.2599875326376	   C 
WGN63	24.082849378304	0.123498862583863	961	23.8404908152767	24.3252079413312	   C 
WGN45	25.1349824400672	0.127540970038965	961	24.8846915015191	25.3852733786154	    D
WGN55	25.1957850707851	0.119471599616163	961	24.9613297519284	25.4302403896418	    D
WGN46	25.216160832964	0.119915723603337	961	24.9808339493893	25.4514877165387	    D
