famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN39	8.36545406525987	0.0554269575231132	1111	8.25670074706066	8.47420738345907	 A   
WGN63	8.51257896121346	0.0561299300434365	1111	8.40244633955608	8.62271158287084	 AB  
WGN45	8.53672132381447	0.0627493519622301	1111	8.41360072427775	8.6598419233512	 AB  
WGN55	8.63000432979966	0.055005465160168	1111	8.52207802241098	8.73793063718834	  B  
WGN26	8.64599175911741	0.0600893144145617	1111	8.52809042332474	8.76389309491008	  B  
WGN15	8.66761852596857	0.0561112479989887	1111	8.5575225603792	8.77771449155795	  B  
WGN07	9.03658536579692	0.0552520755911285	1111	8.92817518370416	9.14499554788968	   C 
WGN36	9.12006687744814	0.057406011189772	1111	9.00743045502021	9.23270329987606	   CD
WGN46	9.2735208172511	0.0563464772097078	1111	9.16296330806731	9.3840783264349	   CD
WGN38	9.38630545546752	0.0625833783955836	1111	9.26351051291998	9.50910039801507	    D
