famID	emmean	SE	df	lower.CL	upper.CL
WGN07	7.03551082361604	0.0244816802817153	1136	6.98747643411195	7.08354521312013
WGN15	7.77954329446465	0.0245791417408706	1136	7.73131768027186	7.82776890865744
WGN26	8.34908311345631	0.0256937246232716	1136	8.29867062696997	8.39949559994266
WGN36	7.99537386649681	0.0254400311949084	1136	7.94545914032807	8.04528859266555
WGN38	7.87722772277228	0.0275886251188314	1136	7.82309733835459	7.93135810718997
WGN39	8.33296303276514	0.0242820491236782	1136	8.28532033046111	8.38060573506917
WGN45	7.62239773796839	0.0264186867786492	1136	7.570562836266	7.67423263967079
WGN46	7.72197839128775	0.0249705194383525	1136	7.67298487274576	7.77097190982974
WGN55	7.6591800337841	0.0243762306297747	1136	7.61135254223783	7.70700752533036
WGN63	8.68788639337566	0.0249711951710529	1136	8.63889154900932	8.736881237742
