famID	emmean	SE	df	lower.CL	upper.CL
WGN07	7.89112441665947	0.0281890565152359	1107	7.8358144077622	7.94643442555674
WGN15	8.67076540118781	0.0282931873053153	1107	8.61525107630278	8.72627972607283
WGN26	9.32799733992011	0.0305340123243984	1107	9.2680862715089	9.38790840833132
WGN36	8.79583281463966	0.0290560371286225	1107	8.73882169505023	8.8528439342291
WGN38	8.63808303249097	0.0316765552330071	1107	8.57593017005567	8.70023589492628
WGN39	9.12741390178212	0.027947580610378	1107	9.07257769499451	9.18225010856973
WGN45	8.44112682176771	0.0317227645406522	1107	8.37888329162185	8.50337035191357
WGN46	8.47842153150781	0.028519748473721	1107	8.42246266885568	8.53438039415995
WGN55	8.56709644146477	0.02794758061038	1107	8.51226023467715	8.62193264825239
WGN63	9.516734172757	0.0286295247768359	1107	9.46055991700369	9.57290842851031
