famID	emmean	SE	df	lower.CL	upper.CL
WGN07	6.14170386904761	0.046739833952794	191	6.0495113231677	6.23389641492753
WGN15	6.2753623188406	0.0771324582912256	191	6.12322147668386	6.42750316099735
WGN26	6.53743386243387	0.0453696556150437	191	6.44794394124437	6.62692378362337
WGN36	6.29993489583335	0.0437665100571308	191	6.21360711832089	6.3862626733458
WGN38	6.1232843137255	0.0475061209979743	191	6.02958029577571	6.21698833167529
WGN39	6.92638888888891	0.051850099263299	191	6.8241165389264	7.02866123885143
WGN45	6.07392769607843	0.0443523534262365	191	5.98644436478846	6.1614110273684
WGN46	6.17724537037037	0.0343022713301677	191	6.10958544400893	6.24490529673181
WGN55	5.87485632183908	0.043600758675578	191	5.78885548262649	5.96085716105167
WGN63	7.05135135135135	0.0593816892810344	191	6.93422322635635	7.16847947634636
