famID	emmean	SE	df	lower.CL	upper.CL
WGN07	7.16002372348559	0.0253646662983751	1115	7.11025586762759	7.20979157934358
WGN15	8.06821684587803	0.0244663635121121	1115	8.02021154439618	8.11622214735989
WGN26	8.49730636419277	0.025832702292132	1115	8.44662017778788	8.54799255059767
WGN36	8.06057849771357	0.0270870627892285	1115	8.00743113828636	8.11372585714077
WGN38	7.80890219398287	0.0277955120692157	1115	7.75436479057738	7.86343959738835
WGN39	8.47392437560452	0.0249393119186496	1115	8.42499110496085	8.5228576462482
WGN45	7.47431087115006	0.0264277158221523	1115	7.42245721235474	7.52616452994537
WGN46	7.47826915231524	0.025449306280322	1115	7.42833522486885	7.52820307976163
WGN55	7.5678905672186	0.0248436233803693	1115	7.5191450464678	7.6166360879694
WGN63	8.70778688524596	0.0254627007308493	1115	8.6578266766305	8.75774709386141
