famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	15.9691079928939	0.311131527692404	1125	15.3586446311888	16.579571354599	 A    
WGN55	16.3874245820295	0.314735392496177	1125	15.7698901676428	17.0049589964163	 AB   
WGN38	16.6598686689276	0.355187880160815	1125	15.9629634437708	17.3567738940845	 ABC  
WGN45	17.1692310849741	0.331965865511412	1125	16.5178891919346	17.8205729780136	 ABC  
WGN63	17.6726707244872	0.323631321391681	1125	17.0376818312846	18.3076596176898	  BCD 
WGN36	17.8337542873766	0.341867753918271	1125	17.1629841476117	18.5045244271416	  BCD 
WGN26	18.1845204990831	0.329970954779336	1125	17.5370927703227	18.8319482278434	   CD 
WGN39	18.9017698553666	0.313526530156997	1125	18.2866073194355	19.5169323912977	    DE
WGN07	19.0592376903593	0.321305686578558	1125	18.4288118668548	19.6896635138639	    DE
WGN46	20.2673861716418	0.321170227608597	1125	19.6372261287824	20.8975462145011	     E
